source,target,generated,similarity,confidence
"4.2
아시아태평양: 동물용 기생충 구충제 시장, 유형별 및 국가별(2019년)","4.2 
ASIA PACIFIC: ANIMAL PARASITICIDES MARKET, BY TYPE  
& COUNTRY (2019)","4.2  
아시아태평양: 동물용 기생충 구충제 시장, 유형별 및 국가별(2019년)",0.8915653,0.95
"그림 15
2019년 아시아태평양 동물용 기생충 구충제 시장에서 가장 큰 비중을 차지하는","FIGURE 15 
ECTOPARASITICIDES SEGMENT ACCOUNTED FOR THE LARGEST SHARE OF  
THE APAC ANIMAL PARASITICIDES MARKET IN 2019","그림 15  
2019년 아시아태평양 동물용 기생충 구충제 시장에서 가장 큰 비중을 차지하는",0.7888387,0.85
2019년 아시아태평양 동물용 기생충 구충제 시장,"ASIA PACIFIC ANIMAL PARASITICIDES MARKET, 2019",2019년 아시아태평양 동물용 기생충 구충제 시장,0.8670206,0.95
"=
14억 3,380만 달러","= USD 1,433.8 MILLION","14억 3,380만 달러",0.8914928,0.95
외부 기생충 구충제,ECTOPARASITICIDES,외부 기생충 구충제,0.59724295,0.95
내부 기생충 구충제,ENDOPARASITICIDES,내부 기생충 구충제,0.58852935,0.95
내외부 기생충 구충제,ENDECTOCIDES,내외부 기생충 구충제,0.5782601,0.95
"출처:
임상연구기관협회(ACRO),
임상연구학회(CRS),
캐나다
임상연구협회(CRAC),
국제계약연구기구
협회","Source: Association of Clinical Research Organizations (ACRO), Clinical Research Society (CRS), Clinical Research Association of 
Canada (CRAC), Association of International Contract Research Organizations (AICROS), Clinical and Contract Research Association 
(CCRA), American Association of Pharmaceutical Scientists (AAPS), Eurostat, Food and Drug Administration (FDA), Pharmaceutical 
Research and Manufacturers of America (PhRMA), Annual Reports, SEC Filings, Investor Presentations, Press Releases, Conferences, 
Journals, Expert Interviews, and MarketsandMarkets Analysis","출처:
임상연구기관협회(ACRO),
임상연구학회(CRS),
캐나다
임상연구협회(CRAC),
국제계약연구기구협회",0.86466837,0.85
"
4.3
동물용 기생충 구충제 시장: 지역별 성장기회","4.3 
ANIMAL PARASITICIDES MARKET: GEOGRAPHIC GROWTH 
OPPORTUNITIES","4.3  
동물용 기생충 구충제 시장: 지역별 성장 기회",0.8126766,0.95
"그림 16
예측기간 동안 인도의 가장 높은 성장률 기록 예상","FIGURE 16 
INDIA TO REGISTER THE HIGHEST GROWTH DURING THE FORECAST PERIOD","그림 16  
예측 기간 동안 인도의 가장 높은 성장률 기록 예상",0.9518124,0.95
"4.4
동물용 기생충 구충제 시장: 지역별 비교","4.4 
ANIMAL PARASITICIDES MARKET: GEOGRAPHIC MIX","4.4  
동물용 기생충 구충제 시장: 지역별 비교",0.8259514,0.95
"그림 17
예측기간 동안 동물용 기생충 구충제 시장에 대한 북미의 장악이 지속될 것으로 예상","FIGURE 17 
NORTH AMERICA TO CONTINUE TO DOMINATE THE ANIMAL PARASITICIDES 
MARKET DURING THE FORECAST PERIOD","그림 17  
예측 기간 동안 동물용 기생충 구충제 시장에 대한 북미의 장악이 지속될 것으로 예상됩니다.",0.82363296,0.95
"출처:
임상연구기관협회(ACRO),
임상연구학회(CRS),
캐나다
임상연구협회(CRAC),
국제계약연구기구
협회
(AICROS), 임상및계약연구협회(CCRA), 미국 제약과학자협회(AAPS), 유럽연합 통계청(Eurostat), 미국 식품의약
국(FDA), 미국 제약협회(PhRMA), 연차보고서, SEC 자료, 투자자 발표, 보도 자료, 컨퍼런스, 학술지, 전문가 취
재, MarketsandMarkets 분석","Source: Association of Clinical Research Organizations (ACRO), Clinical Research Society (CRS), Clinical Research Association of 
Canada (CRAC), Association of International Contract Research Organizations (AICROS), Clinical and Contract Research Association 
(CCRA), American Association of Pharmaceutical Scientists (AAPS), Eurostat, Food and Drug Administration (FDA), Pharmaceutical 
Research and Manufacturers of America (PhRMA), Annual Reports, SEC Filings, Investor Presentations, Press Releases, Conferences, 
Journals, Expert Interviews, and MarketsandMarkets Analysis","출처:  
임상연구기관협회(ACRO),  
임상연구학회(CRS),  
캐나다 임상연구협회(CRAC),  
국제계약연구기구협회(AICROS),  
임상 및 계약 연구 협회(CCRA),  
미국 제약과학자협회(AAPS),  
유럽연합 통계청(Eurostat),  
미국 식품의약국(FDA),  
미국 제약협회(PhRMA),  
연차보고서, SEC 자료, 투자자 발표, 보도 자료, 컨퍼런스, 학술지, 전문가 취재, MarketsandMarkets 분석",0.9561891,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"4.5
동물용 기생충 구충제 시장: 개발도상국 VS. 선진국","4.5 
ANIMAL PARASITICIDES MARKET: DEVELOPING VS. DEVELOPED 
COUNTRIES","4.5  
동물용 기생충 구충제 시장: 개발도상국 대 선진국",0.8497797,0.95
"그림 18
예측기간 동안 개발도상국 시장은 참여기업에 성장기회를 제공할 것으로 예상 ","FIGURE 18 
DEVELOPING COUNTRIES TO PRESENT GROWTH OPPORTUNITIES TO MARKET 
PLAYERS DURING THE FORECAST PERIOD","그림 18  
예측 기간 동안 개발도상국 시장은 참여 기업에 성장 기회를 제공할 것으로 예상됩니다.",0.7900022,0.95
"중국
인도
미국
독일
■2020
586.3
164.6
3,757.3
555.9
■2025
907.0
257.0
4,982.5
803.1
CAGR
9.1%
9.3%
5.8%
7.6%","China
India
US
Germany
2020
586.3
164.6
3,757.3
555.9
2025
907.0
257.0
4,982.5
803.1
CAGR
9.1%
9.3%
5.8%
7.6%","중국  
인도  
미국  
독일  
■2020  
586.3  
164.6  
3,757.3  
555.9  
■2025  
907.0  
257.0  
4,982.5  
803.1  
CAGR  
9.1%  
9.3%  
5.8%  
7.6%",0.9845113,0.95
"출처:
임상연구기관협회(ACRO),
임상연구학회(CRS),
캐나다
임상연구협회(CRAC),
국제계약연구기구
협회
(AICROS), 임상및계약연구협회(CCRA), 미국 제약과학자협회(AAPS), 유럽연합 통계청(Eurostat), 미국 식품의약
국(FDA), 미국 제약협회(PhRMA), 연차보고서, SEC 자료, 투자자 발표, 보도 자료, 컨퍼런스, 학술지, 전문가 취","Source: Association of Clinical Research Organizations (ACRO), Clinical Research Society (CRS), Clinical Research Association of 
Canada (CRAC), Association of International Contract Research Organizations (AICROS), Clinical and Contract Research Association 
(CCRA), American Association of Pharmaceutical Scientists (AAPS), Eurostat, Food and Drug Administration (FDA), Pharmaceutical 
Research and Manufacturers of America (PhRMA), Annual Reports, SEC Filings, Investor Presentations, Press Releases, Conferences, 
Journals, Expert Interviews, and MarketsandMarkets Analysis","출처:  
임상연구기관협회(ACRO),  
임상연구학회(CRS),  
캐나다 임상연구협회(CRAC),  
국제계약연구기구협회(AICROS),  
임상 및 계약 연구 협회(CCRA),  
미국 제약과학자협회(AAPS),  
유럽연합 통계청(Eurostat),  
미국 식품의약국(FDA),  
미국 제약협회(PhRMA),  
연차보고서, SEC 자료, 투자자 발표, 보도 자료, 컨퍼런스, 학술지, 전문가 취급.",0.9542779,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"동물성 식품에 대한 수요 증가, 사기업들의 투자 증가, 인수공통감염병에 대한 우려 상승, 반려동물 부문의 성장이 시장 성장을 견인하는 주요 요인이다. 그러나 채식주의 식단으로의 전환과 식용동물에 대한 구충제 사용 제한은 시장에 부정적 영향을 미칠 것으로 보인다.","The rising demand for animal food products, increasing investments from private players, growing concerns over zoonotic diseases, and growth in the companion animal sector are among the major factors driving the market growth. However, a shift towards vegetarian diets and restrictions on the use of parasiticides in food-producing animals will negatively affect the market.","동물성 식품에 대한 수요 증가, 사기업들의 투자 증가, 인수공통감염병에 대한 우려 상승, 반려동물 부문의 성장이 시장 성장을 견인하는 주요 요인이다. 그러나 채식주의 식단으로의 전환과 식용동물에 대한 구충제 사용 제한은 시장에 부정적 영향을 미칠 것으로 보인다.",0.93440175,0.95
"현재 세계 동물용 구충제 시장은 5-6개의 핵심 기업들이 주도하고 있다. 시장의 통합적 특성으로 인해 경쟁적 라이벌 구도가 극심하다. 주요 시장 참여기업은 고객 기반을 확장하기 위해 인수, 확장, 제품 출시에 주력하고 있다.","Currently, the global animal parasiticides market is dominated by five to six key players. Owing to the consolidated nature of the market, competitive rivalry is high. Major market players are focusing on acquisitions, expansions, and product launches to increase their customer base.","현재 세계 동물용 구충제 시장은 5-6개의 핵심 기업들이 주도하고 있다. 시장의 통합적 특성으로 인해 경쟁적 라이벌 구도가 극심하다. 주요 시장 참여 기업은 고객 기반을 확장하기 위해 인수, 확장, 제품 출시에 주력하고 있다.",0.83986366,0.95
"5.2
시장 역학","5.2 
MARKET DYNAMICS","5.2  
시장 역학",0.88959163,0.95
"그림 19
동물용 기생충 구충제 시장: 성장 촉진요인, 성장 억제요인, 시장 기회, 과제","FIGURE 19 
ANIMAL PARASITICIDES MARKET: DRIVERS, RESTRAINTS, OPPORTUNITIES,  
AND CHALLENGES","그림 19  
동물용 기생충 구충제 시장: 성장 촉진 요인, 성장 억제 요인, 시장 기회, 과제",0.8085508,0.95
"
5.2.1
성장 촉진요인","5.2.1 
DRIVERS","5.2.1  
성장 촉진 요인",0.29404616,0.95
"
5.2.1.1
동물성 식품에 대한 수요 증가","5.2.1.1 
Rising demand for animal-derived food products","5.2.1.1  
동물성 식품에 대한 수요 증가",0.92599326,0.95
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"
현재, 동물보건 산업의 많은 대표 기업들은 동물 복지를 위한 항기생충제를 포함하여 동물의약품 시장에 혁신적인","Currently, many leading players in the animal health industry are broadening their research facilities to 
offer innovative solutions in the veterinary pharmaceutical market, including antiparasitics for animal 
welfare.","현재, 동물보건 산업의 많은 대표 기업들은 동물 복지를 위한 항기생충제를 포함하여 동물 의약품 시장에 혁신적인 제품을 선보이고 있습니다.",0.834792,0.95
"
약품을 제공하기 위해 연구 시설을 확장하고 있다. 주요 시장 참여기업들은 R&D 센터와 생산 시설의 설립, 지역","Major market players are focusing on expanding their global footprints through the establishment 
of R&D centers and production facilities,","약품을 제공하기 위해 연구 시설을 확장하고 있다. 주요 시장 참여 기업들은 R&D 센터와 생산 시설의 설립, 지역",0.7842926,0.95
"
시장 참여기업의 인수, 고성장 시장에서의 협약 및 파트너십을 통해 국제시장에서 지위를 확장하는 데 주력하고","the acquisition of regional market players, and agreements and 
partnerships in these high-growth markets.","시장 참여 기업의 인수, 고성장 시장에서의 협약 및 파트너십을 통해 국제 시장에서의 지위를 확장하는 데 주력하고",0.8364726,0.95
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"5.2.1.5
반려동물 소유율 증가","5.2.1.5 
Growing companion animal ownership rate","5.2.1.5  
반려동물 소유율 증가",0.86409205,0.95
"반려동물은 심부정맥 감소, 혈압 정상화, 불안감 감소, 심리적 안정감 증대, 삶의 질 향상과 같은 건강에 긍정적인 영향을 수반해왔다. 이러한 반려동물 소유의 긍정적인 영향은 수년 간 반려동물 입양률을 크게 증가시켰다. APPA","Companion animals have been associated with positive health benefits, such as reduced cardiac arrhythmias, normalization of blood pressure, decreased anxiety, greater psychological stability, and improved well-being. The positive impacts of pet ownership have greatly increased pet adoption rates over the years. According to the American Pet Products Association (APPA) National Pet Owners Survey 2019–2020, 67% percent of US households, or about 85 million families, owns a pet.","반려동물은 심부정맥 감소, 혈압 정상화, 불안감 감소, 심리적 안정감 증대, 삶의 질 향상과 같은 건강에 긍정적인 영향을 미쳐왔다. 이러한 반려동물 소유의 긍정적인 영향은 수년간 반려동물 입양률을 크게 증가시켰다. APPA",0.86405575,0.95
"의 2019-2020년 전국 반려동물소유자조사에 따르면 미국 가구 수의 67%에 달하는 약 8,500만 가구가 반려동물을 소유했다. 게다가 영국 반려동물사료생산자협회(PFMA)에 따르면, 2019년 영국 가구 수의 40%(1,200만 가구)가 반려동물을 소유했다. 브라질, 중국, 인도, 멕시코와 같은 신흥 국가도 5년 전의 수치와 비교했을 때 동물 소유율이 상승한 것으로 나타났다.","Furthermore, according to the Pet Food Manufacturers Association (PFMA), in 2019, 40% of households (12 million) in the UK had pets. Emerging countries such as Brazil, China, India, and Mexico are also witnessing higher rates of animal ownership, as compared to figures five years ago.","2019-2020년 전국 반려동물 소유자 조사에 따르면 미국 가구의 67%에 해당하는 약 8,500만 가구가 반려동물을 소유하고 있다. 게다가 영국 반려동물 사료 생산자 협회(PFMA)의 보고서에 따르면, 2019년 영국 가구의 40%(1,200만 가구)가 반려동물을 소유하고 있었다. 브라질, 중국, 인도, 멕시코와 같은 신흥 국가들도 5년 전의 수치와 비교했을 때 동물 소유율이 상승한 것으로 나타났다.",0.9045237,0.95
"반려동물 소유자 수가 증가하는 것 외에도, 도시화의 확산은 도시 인구의 높은 반려동물 입양률로 인해 동물보건에 대한 1인당 지출의 증가를 가져왔다. 이러한 점은 동물보건에 대한 인식의 개선과 함께 반려동물 부문에서의 동물용 구충제 사용 증가를 견인하고 있다.","In addition to the growing number of pet owners, rising urbanization has also contributed to the increase in per capita expenditure on animal health due to the high adoption rate of companion animals in the urban population. This, along with growing awareness of animal health, is driving the adoption of animal parasiticides in the companion animal segment.","반려동물 소유자 수가 증가하는 것 외에도, 도시화의 확산은 도시 인구의 높은 반려동물 입양률로 인해 동물보건에 대한 1인당 지출의 증가를 가져왔다. 이러한 점은 동물보건에 대한 인식의 개선과 함께 반려동물 부문에서의 동물용 구충제 사용 증가를 견인하고 있다.",0.9186814,0.95
"5.2.1.6
동물보건 비용 지출 증가","5.2.1.6 
Rising animal health expenditure","5.2.1.6  
동물보건 비용 지출 증가",0.94781387,0.95
"
5.2.2
성장 억제요인
","5.2.2 
RESTRAINTS","5.2.2  
성장 억제 요인",0.53759587,0.95
"5.2.2.1
채식주의 식단으로의 전환
","5.2.2.1 
Shift toward vegetarian diets","5.2.2.1  
채식주의 식단으로의 전환",0.9233519,0.95
전세계적으로 비만과 기타 만성 질환의 유병률이 현저하게 증가하고 있다. 이로 인해 많은 사람들이 비채식주의,"Globally, there is a significant rise in the prevalence of obesity and other chronic disorders. Owing to this, a number of people are shifting toward a vegetarian diet from a predominantly non-vegetarian diet.",전 세계적으로 비만과 기타 만성 질환의 유병률이 현저하게 증가하고 있다. 이로 인해 많은 사람들이 비채식주의로 전환하고 있다.,0.92586213,0.95
"구글 트렌드에 따르면, 채식주의에 대한 관심은 2014년과 2019년 사이에 7배 증가하였다. 미국 USDA는 시기에","According to Google Trends, interest in veganism increased sevenfold between 2014 and 2019. The US Department of Agriculture releases dietary guidelines on a timely basis.","구글 트렌드에 따르면, 채식주의에 대한 관심은 2014년과 2019년 사이에 7배 증가하였다. 미국 USDA는 이 시기에",0.8622601,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"신흥시장은 가금류 및 착유동물의 많은 개체수로 인해 동물보건의료 시장의 성장을 견인할 것으로 예상되며, 이는 가금류 동물이 기생충 질환에 취약하다는 점을 고려한 것이다. 이러한 예상에 따라 신흥시장에 대한 다국적기업의 투자 유치 또한 활발해질 것이다. 그러나 과거 기록을 살펴볼 때 이러한 국가에서의 수의과 진료, 가축 농장, 반려 동물 소유자에 의한 동물용 구충제의 사용은 선진국보다 상대적으로 적었다. 아시아태평양 및 라틴 아메리카 전역","The large poultry and dairy animal populations in emerging markets are expected to drive the growth of the 
veterinary health market, as poultry animals are more prone to parasitic diseases. This will also attract 
investments from global players to these markets. However, historically, the adoption of animal 
parasiticides in veterinary practices, livestock farms, and pet owners in these countries has been 
comparatively less than that in developed markets. With the surge in companion animal population, the 
growing demand for animal food products, the huge population of livestock animals, and the increasing 
animal health expenditure in emerging countries across the APAC and Latin America, these regions 
showcase high-growth opportunities for players in the animal parasiticides market. Many players from 
international markets are focusing on expanding their presence in these high-growth markets and ensuring 
long-term revenue growth.","신흥시장은 가금류 및 착유동물의 많은 개체수로 인해 동물보건의료 시장의 성장을 견인할 것으로 예상되며, 이는 가금류 동물이 기생충 질환에 취약하다는 점을 고려한 것이다. 이러한 예상에 따라 신흥시장에 대한 다국적기업의 투자 유치 또한 활발해질 것이다. 그러나 과거 기록을 살펴볼 때 이러한 국가에서의 수의과 진료, 가축 농장, 반려 동물 소유자에 의한 동물용 구충제의 사용은 선진국보다 상대적으로 적었다. 아시아태평양 및 라틴 아메리카 전역.",0.8724092,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"5.2.4.2
기생충 종의 다양성","5.2.4.2 
Diversity of parasite species","5.2.4.2  
기생충 종의 다양성",0.8765075,0.95
기생충 종의 다양성은 동물의 질병의 원인을 진단하는 데 있어 주요 관심사가 되고 있다. 기생충 종이 식별되면,The diversity of parasite species is a major concern while diagnosing the cause of illness in animals. The identification of the species is followed by,기생충 종의 다양성은 동물의 질병 원인을 진단하는 데 주요 관심사가 되고 있다. 기생충 종이 식별되면,0.8864262,0.95
"해당 기생충으로 인한 질병을 치료하기 위한 신약의 개발로 이어지는데, 이러한 과정에는 많은 시간이 소요된다.",the development of a new drug for treating ailments caused by the same; this is a time-consuming process.,"해당 기생충으로 인한 질병을 치료하기 위한 신약의 개발로 이어지는데, 이러한 과정에는 많은 시간이 소요된다.",0.83838445,0.95
때때로 동물이 진단을 받은 뒤 발병원인이 되는 내부 기생충의 구제를 위해 고안된 약이 아닌 내부 기생충 구충제,"Sometimes, it may happen that an animal is administered with an endoparasiticide that differs from the one designed for the diagnosed causative endoparasite.",때때로 동물이 진단을 받은 뒤 발병 원인이 되는 내부 기생충의 구제를 위해 고안된 약이 아닌 내부 기생충 구충제입니다.,0.73153865,0.95
를 투여 받는 일이 일어나기도 한다. 이 경우 기생충은 해당 내부 기생충 구충제에 대하여 내성이 생길 수 있다.,"In such cases, the causative agent may develop immunity against the endoparasiticide.",투여 받는 일이 일어나기도 한다. 이 경우 기생충은 해당 내부 기생충 구충제에 대하여 내성이 생길 수 있다.,0.5826687,0.95
따라서 구충제 제조사는 동물에 대한 실험을 실시하여 개발된 약의 효능을 증명해야 한다. 이는 많은 시간과 비용,"Therefore, manufacturers of parasiticides have to conduct different tests on animals to prove the efficiency of the drug developed. This is a time-consuming and expensive task,",따라서 구충제 제조사는 동물에 대한 실험을 실시하여 개발된 약의 효능을 증명해야 한다. 이는 많은 시간과 비용이 소요된다.,0.88864374,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"
표 2
2017년-2019년 동물보건 산업의 주요 인수","TABLE 2 
MAJOR ACQUISITIONS IN THE ANIMAL HEALTH INDUSTRY (2017–2019)","표 2  
2017년-2019년 동물보건 산업의 주요 인수",0.88901955,0.95
"
연도 및 월
인수 대상 기업
인수 기업
인수 목표","MONTH & YEAR 
TARGET 
ACQUIRER 
DESCRIPTION","연도 및 월  
인수 대상 기업  
인수 기업  
인수 목표",0.46861178,0.95
"
2020년 2월
엘랑코(미국)
베토퀴놀(프랑스)
동물보건 사업 규모와 동물용 구 충제 시장에서 가시성 증가","February 2020 
Elanco (US) 
Vetoquinol (France) 
To increase the size of its animal health 
business and visibility in the animal 
parasiticides market","2020년 2월  
엘랑코(미국)  
베토퀴놀(프랑스)  
동물보건 사업 규모와 동물용 구충제 시장에서 가시성 증가",0.77806175,0.95
"
2019년 12월
텍사스베트랩(Texas Vet Lab)
(미국 산안젤로)
바이메다(미국)
고객에게 더욱 다양한 항기생충제","December 2019 
Texas Vet Lab (San 
Angelo, US) 
Bimeda (US) 
To offer customers a broad suite of 
antiparasitics","2019년 12월  
텍사스베트랩(Texas Vet Lab)  
(미국 산안젤로)  
바이메다(미국)  
고객에게 더욱 다양한 항기생충제",0.8215298,0.95
"
2019년 12월
그루포 우니파마
(Grupo Unipharma)(멕시코)
바이메다(미국)
중앙 아메리카 시장에서의 입지","December 2019 
Grupo Unipharma 
(Mexico) 
Bimeda (US) 
To strengthen its presence in Central 
America","2019년 12월  
그루포 우니파마 (Grupo Unipharma)(멕시코)  
바이메다(미국)  
중앙 아메리카 시장에서의 입지",0.7278633,0.95
"
2019년 8월
바이엘(미국)
엘랑코(미국)
반려동물 사업 및 포트폴리오 확 장","August 2019 
Bayer AG (US) 
Elanco (US) 
To expand its companion animal business 
and portfolio","2019년 8월  
바이엘(미국)  
엘랑코(미국)  
반려동물 사업 및 포트폴리오 확장",0.7038224,0.95
"
2019년 4월
클라리온 바이오시엔시아스
(Clarion Biociencias)(브라질)
베토퀴놀(프랑스)
브라질 동물용 구충제 시장에서의","April 2019 
Clarion Biociencias 
(Brazil) 
Vetoquinol (France) 
To increase its footprint in the animal 
parasiticides market in Brazil","2019년 4월  
클라리온 바이오시엔시아스  
(Clarion Biociencias)(브라질)  
베토퀴놀(프랑스)  
브라질 동물용 구충제 시장에서의",0.86257875,0.95
"
2017년 11월
빌산 파마수티컬(터키)
머크(미국)
중동 및 아프리카 시장에서의 입 지 확대","November 2017 
Vilsan Pharmaceuticals 
(Turkey) 
Merck & Co. (US) 
To expand its market presence in the 
Middle East & Africa","2017년 11월  
빌산 파마수티컬(터키)  
머크(미국)  
중동 및 아프리카 시장에서의 입지 확대",0.56116426,0.95
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"6
시장 분석 및 예측: 유형별","6 
ANIMAL PARASITICIDES MARKET, BY TYPE",시장 분석 및 예측: 유형별,0.34837484,0.95
"주요 결과 n
2019년 외부 기생충 구충제는 63.9%의 시장 점유율로 세계 동물용 기생충 구충제 시장의 가장 큰 비중을 차지했다."," 
In 2019, ectoparasiticides accounted for the largest share of 63.9% of the global animal parasiticides market.","주요 결과 n  
2019년 외부 기생충 구충제는 63.9%의 시장 점유율로 세계 동물용 기생충 구충제 시장에서 가장 큰 비중을 차지했다.",0.82086456,0.95
"장하여, 예측기간 중 8.8%의 CAGR을 기록할 것으로 예상된다."," 
The market for ectoparasiticides is projected to reach USD 9,621.0 million by 2025 from USD 6,302.6 million in 2020, at a CAGR of 8.8% during the forecast period.","장하여, 예측 기간 중 8.8%의 연평균 성장률(CAGR)을 기록할 것으로 예상된다.",0.44587833,0.85
"내외부 기생충 구충제는 동물용 기생충 구충제 시장에서 두 번째로 높은 점유율을 기록하고 있지만, 성장률은 가장 낮을 것으로 예상된다."," 
Endectocides hold the second-largest share of the animal parasiticides market but are expected to grow at the lowest rate.","내외부 기생충 구충제는 동물용 기생충 구충제 시장에서 두 번째로 높은 점유율을 기록하고 있지만, 성장률은 가장 낮을 것으로 예상된다.",0.75247777,0.95
2020년 5월 © MarketsandMarkets™,MAY 2020 © MarketsandMarkets™,2020년 5월 © MarketsandMarkets™,0.9933447,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"본 섹션에서는 시장에서 제공되는 구충제의 유형을 다룬다. 유형에 따라 내부 기생충 구충제, 외부 기생충 구충제, 내외부 기생충 구충제로 세분화된다.","This section studies the types of parasiticides available in the market. These are categorized as endoparasiticides, ectoparasiticides, and endectocides.","이 섹션에서는 시장에서 제공되는 구충제의 유형을 다룹니다. 유형에 따라 내부 기생충 구충제, 외부 기생충 구충제, 내외부 기생충 구충제로 세분화됩니다.",0.77306926,0.95
"표 3
2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)","TABLE 3 
ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION)","표 3  
2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)",0.8771086,0.95
"출처: 세계보건기구(WHO), 국제동물보건연맹(IFAH), 동물보건연구소(AHI), 미국 반려동물제품협회(APPA), 영국 동물보건기구(NOAH), 미국 반려동물기생충협의회(CAPC), 미국수의사회(AVMA), 아시아수의학회연맹(FAVA), UN 식량농업기구 통계데이터베이스(FAOSTAT), 유럽 반려동물식품산업연합(FEDIAF). Statista, 보도자료, 기업 웹사이트, 연차보고서, 전문가 취재, MarketsandMarkets 분석","Source: World Health Organization (WHO), International Federation for Animal Health (IFAH), Animal Health Institute (AHI), American 
Pet Products Association (APPA), National Office Of Animal Health (NOAH), Companion Animal Parasite Council (CAPC), American 
Veterinary Medical Association (AVMA), Federation of Asian Veterinary Associations (FAVA), Food and Agriculture Organization 
Corporate Statistical Database (FAOSTAT), European Pet Food Industry Federation (FEDIAF). Statista, Press Releases, Company 
Websites, Annual Reports, Expert Interviews, and MarketsandMarkets Analysis","출처: 세계보건기구(WHO), 국제동물보건연맹(IFAH), 동물보건연구소(AHI), 미국 반려동물제품협회(APPA), 영국 동물보건기구(NOAH), 미국 반려동물기생충협의회(CAPC), 미국수의사회(AVMA), 아시아수의학회연맹(FAVA), UN 식량농업기구 통계데이터베이스(FAOSTAT), 유럽 반려동물식품산업연합(FEDIAF). Statista, 보도자료, 기업 웹사이트, 연차보고서, 전문가 취재, MarketsandMarkets 분석",0.96613735,0.95
"
외부 기생충 구충제 부문은 2019년 63.9%의 시장 점유율로 세계 동물용 구충제 시장의 가장 큰 비중을 차지했",This market segment accounted for 63.9% of the global animal parasiticides market in 2019.,외부 기생충 구충제 부문은 2019년 63.9%의 시장 점유율로 세계 동물용 구충제 시장에서 가장 큰 비중을 차지했습니다.,0.83947897,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"표 4
2018년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)","TABLE 4 
ANIMAL ECTOPARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION)","표 4  
2018년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)",0.8067591,0.95
"표 5
2018년-2025년 국가별 동물용 외부 기생충 구충제 시장(백만 달러)","TABLE 5 
ANIMAL ECTOPARASITICIDES MARKET, BY COUNTRY, 2018–2025 (USD MILLION)","표 5  
2018년-2025년 국가별 동물용 외부 기생충 구충제 시장(백만 달러)",0.8282096,0.95
