source,target,confidence,notes,page,chunk
"12.4
 맞춤형 자료.................................................................................................... 211","12.4 
AVAILABLE CUSTOMIZATIONS .................................................................................................... 211",0.95,Direct translation with equivalent meaning,9,2
"12.5
 관련 보고서.................................................................................................... 211","12.5 
RELATED REPORTS .................................................................................................................... 211",0.95,Direct translation with equivalent meaning,9,2
"12.6
 저자 정보....................................................................................................... 212","12.6 
AUTHOR DETAILS ....................................................................................................................... 212",0.95,Direct translation with equivalent meaning,9,2
2020년 5월 © MarketsandMarkets™,MAY 2020 © MarketsandMarkets™,0.95,"Direct translation with equivalent meaning, date format difference due to language",9,2
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,0.95,Title matches perfectly with minor formatting differences.,10,1
"표 1
구충제와 내성을 지닌 기생충
46","TABLE 1 
PARASITICIDES & RESISTANT PARASITES 
46",0.95,,10,1
"표 2
2017년-2019년 동물보건 산업의 주요 인수
48","TABLE 2 
MAJOR ACQUISITIONS IN THE ANIMAL HEALTH INDUSTRY (2017–2019) 
48",0.95,,10,1
"표 3
2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)
50","TABLE 3 
ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
50",0.95,,10,1
"표 4
2018년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)
51","TABLE 4 
ANIMAL ECTOPARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
51",0.95,,10,1
"표 5
2018년-2025년 국가별 동물용 외부 기생충 구충제 시장(백만 달러)
51","TABLE 5 
ANIMAL ECTOPARASITICIDES MARKET, BY COUNTRY, 2018–2025 (USD MILLION) 
51",0.95,,10,1
"표 6
2018년-2025년 국가별 푸어온 및 스팟온 외부 기생충 구충제 시장(백만 달러)
52","TABLE 6 
ECTOPARASITICIDE POUR-ONS & SPOT-ONS MARKET, BY COUNTRY,  2018–2025 (USD MILLION) 
52",0.95,,10,1
"표 7
2018년-2025년 국가별 경구 정제 외부 기생충 구충제 시장(백만 달러)
53","TABLE 7 
ORAL ECTOPARASITICIDE TABLETS MARKET, BY COUNTRY,  2018–2025 (USD MILLION) 
53",0.95,,10,1
"표 8
2018년-2025년 국가별 스프레이 외부 기생충 구충제 시장(백만 달러)
54","TABLE 8 
ECTOPARASITICIDE SPRAYS MARKET, BY COUNTRY, 2018–2025 (USD MILLION) 
54",0.95,,10,1
"표 9
2018년-2025년 국가별 딥 외부 기생충 구충제 시장(백만 달러)
55","TABLE 9 
ECTOPARASITICIDE DIPS MARKET, BY COUNTRY, 2018–2025 (USD MILLION) 
55",0.95,,10,1
"표 10
2018년-2025년 국가별 이어태그 외부 기생충 구충제 시장(백만 달러)
56","TABLE 10 
ECTOPARASITICIDE EAR TAGS MARKET, BY COUNTRY, 2018–2025 (USD MILLION) 
56",0.95,,10,1
"표 11
2018년-2025년 국가별 칼라 외부 기생충 구충제 시장(백만 달러)
57","TABLE 11 
ECTOPARASITICIDE COLLARS MARKET, BY COUNTRY, 2018–2025 (USD MILLION) 
57",0.95,,10,1
"표 12
2018년-2025년 국가별 기타 외부 기생충 구충제 시장(백만 달러)
58","TABLE 12 
OTHER ECTOPARASITICIDES MARKET, BY COUNTRY, 2018–2025 (USD MILLION) 
58",0.95,,10,1
"표 13
2018년-2025년 유형별 동물용 내부 기생충 구충제 시장(백만 달러)
59","TABLE 13 
ANIMAL ENDOPARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
59",0.95,,10,1
"표 14
2018년-2025년 국가별 동물용 내부 기생충 구충제 시장(백만 달러)
60","TABLE 14 
ANIMAL ENDOPARASITICIDES MARKET, BY COUNTRY, 2018–2025 (USD MILLION) 
60",0.95,,10,1
"표 15
2018년-2025년 국가별 구강액 내부 기생충 구충제 시장(백만 달러)
61","TABLE 15 
ORAL LIQUID ENDOPARASITICIDES MARKET, BY COUNTRY,  2018–2025 (USD MILLION) 
61",0.95,,10,1
"표 16
2018년-2025년 국가별 경구 고체 내부 기생충 구충제 시장(백만 달러)
62","TABLE 16 
ORAL SOLID ENDOPARASITICIDES MARKET, BY COUNTRY,  2018–2025 (USD MILLION) 
62",0.95,,10,1
"표 17
2018년-2025년 국가별 주사제 내부 기생충 구충제 시장(백만 달러)
63","TABLE 17 
INJECTABLE ENDOPARASITICIDES MARKET, BY COUNTRY,  2018–2025 (USD MILLION) 
63",0.95,,10,1
"표 18
2018년-2025년 국가별 사료 첨가제 내부 기생충 구충제 시장(백만 달러)
64","TABLE 18 
ENDOPARASITICIDE FEED ADDITIVES MARKET, BY COUNTRY,  2018–2025 (USD MILLION) 
64",0.95,,10,1
"표 19
2018년-2025년 국가별 기타 내부 기생충 구충제 시장(백만 달러)
65","TABLE 19 
OTHER ENDOPARASITICIDES MARKET, BY COUNTRY, 2018–2025 (USD MILLION) 
65",0.95,,10,1
"표 20
내외부 기생충 구충제 시장의 참여기업
66","TABLE 20 
PLAYERS IN THE ENDECTOCIDES MARKET 
66",0.85,Minor differences in terminology but the meaning is consistent.,10,1
"표 21
2018년-2025년 국가별 내외부 기생충 구충제 시장(백만 달러)
67","TABLE 21 
ENDECTOCIDES MARKET, BY COUNTRY, 2018–2025 (USD MILLION) 
67",0.85,Minor differences in terminology but the meaning is consistent.,10,1
"표 22
2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)
69","TABLE 22 
ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE, 2018–2025 (USD MILLION) 
69",0.95,,10,1
"표 23
2018년-2025년 유형별 반려동물용 기생충 구충제 시장(백만 달러)
69","TABLE 23 
COMPANION ANIMAL PARASITICIDES MARKET, BY TYPE,  2018–2025 (USD MILLION) 
69",0.95,,10,1
"표 24
2018년-2025년 국가별 반려동물용 기생충 구충제 시장(백만 달러)
70","TABLE 24 
COMPANION ANIMAL PARASITICIDES MARKET, BY COUNTRY,  2018–2025 (USD MILLION) 
70",0.95,,10,1
"표 25
2018년-2025년 국가별 개 대상 반려동물용 기생충 구충제 시장(백만 달러)
71","TABLE 25 
COMPANION ANIMAL PARASITICIDES MARKET FOR DOGS, BY COUNTRY,  2018–2025 (USD MILLION) 
71",0.95,,10,1
"표 26
2018년-2025년 국가별 고양이 대상 반려동물용 기생충 구충제 시장(백만 달러)
72","TABLE 26 
COMPANION ANIMAL PARASITICIDES MARKET FOR CATS, BY COUNTRY,  2018–2025 (USD MILLION) 
72",0.95,,10,1
"표 27
2018년-2025년 국가별 말 대상 반려동물용 기생충 구충제 시장(백만 달러)
73","TABLE 27 
COMPANION ANIMAL PARASITICIDES MARKET FOR HORSES, BY COUNTRY,  2018–2025 (USD MILLION) 
73",0.95,,10,1
"표 28
2018년-2025년 국가별 기타 반려동물용 기생충 구충제 시장(백만 달러)
74","TABLE 28 
OTHER COMPANION ANIMAL PARASITICIDES MARKET, BY COUNTRY,  2018–2025 (USD MILLION) 
74",0.95,,10,1
"표 29
2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)
75",LIST OF TABLES,0.75,The English text 'LIST OF TABLES' does not directly match any specific Korean text but is related to the context of the document. Included with lower confidence due to indirect match.,10,1
"\uD45C 30
2018년-2025년 
국가별 
식용동물용 
기생충 
구충제 
시장(백만 
달러)
75","TABLE 30 
FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY COUNTRY,  
2018–2025 (USD MILLION) 
75",0.95,"The English text is actually in Korean, but it matches the content and meaning of the Korean text labeled as 'TABLE 30'. The numbers, years, and context align perfectly.",10,2
"
ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025","
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",0.95,Direct translation with high confidence.,11,1
"TABLE 31 
FOOD-PRODUCING ANIMAL PARASITICIDES MARKET FOR CATTLE, BY COUNTRY, 
2018–2025 (USD MILLION) 
76","표 31
2018년-2025년 국가별 소 대상 식용동물용 기생충 구충제 시장(백만 달러)
76",0.95,Direct translation with high confidence.,11,1
"TABLE 32 
FOOD-PRODUCING ANIMAL PARASITICIDES MARKET FOR PIGS, BY COUNTRY, 
2018–2025 (USD MILLION) 
77","표 32
2018년-2025년 국가별 돼지 대상 식용동물용 기생충 구충제 시장(백만 달러)
77",0.95,Direct translation with high confidence.,11,1
"TABLE 33 
FOOD-PRODUCING ANIMAL PARASITICIDES MARKET FOR POULTRY, BY COUNTRY, 
2018–2025 (USD MILLION) 
79","표 33
2018년-2025년 국가별 가금류 대상 식용동물용 기생충 구충제 시장(백만 달러)
79",0.95,Direct translation with high confidence.,11,1
"TABLE 34 
FOOD-PRODUCING ANIMAL PARASITICIDES MARKET FOR SHEEP & GOATS,  
BY COUNTRY, 2018–2025 (USD MILLION) 
80","표 34
2018년-2025년 국가별 양/염소 대상 식용동물용 기생충 구충제 시장(백만 달러)
80",0.95,Direct translation with high confidence.,11,1
"TABLE 35 
OTHER FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY COUNTRY,  
2018–2025 (USD MILLION) 
81","표 35
2018년-2025년 국가별 기타 식용동물용 기생충 구충제 시장(백만 달러)
81",0.95,Direct translation with high confidence.,11,1
"TABLE 36 
ANIMAL PARASITICIDES MARKET, BY END USER, 2018–2025 (USD MILLION) 
83","표 36
2018년-2025년 최종사용자별 동물용 기생충 구충제 시장(백만 달러)
83",0.95,Direct translation with high confidence.,11,1
"TABLE 37 
ANIMAL PARASITICIDES MARKET FOR VETERINARY HOSPITALS & CLINICS,  
BY COUNTRY, 2018–2025 (USD MILLION) 
84","표 37
2018년-2025년 국가별 동물병원 및 클리닉 대상 동물용 기생충 구충제 시장(백만 달러)
84",0.95,Direct translation with high confidence.,11,1
"TABLE 38 
ANIMAL PARASITICIDES MARKET FOR ANIMAL FARMS, BY COUNTRY,  
2018–2025 (USD MILLION) 
85","표 38
2018년-2025년 국가별 동물농장 대상 동물용 기생충 구충제 시장(백만 달러)
85",0.95,Direct translation with high confidence.,11,1
"TABLE 39 
ANIMAL PARASITICIDES MARKET FOR HOME CARE SETTINGS, BY COUNTRY,  
2018–2025 (USD MILLION) 
86","표 39
2018년-2025년 국가별 홈케어 대상 동물용 기생충 구충제 시장(백만 달러)
86",0.95,Direct translation with high confidence.,11,1
"TABLE 40 
ANIMAL PARASITICIDES MARKET, BY REGION, 2018–2025 (USD MILLION) 
88","표 40
2018년-2025년 지역별 동물용 기생충 구충제 시장(백만 달러)
88",0.95,Direct translation with high confidence.,11,1
"TABLE 41 
NORTH AMERICA: ANIMAL PARASITICIDES MARKET, BY COUNTRY,  
2018–2025 (USD MILLION) 
90","표 41
북미: 2018년-2025년 국가별 동물용 기생충 구충제 시장(백만 달러)
90",0.95,Direct translation with high confidence.,11,1
"TABLE 42 
NORTH AMERICA: ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
90","표 42
북미: 2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)
90",0.95,Direct translation with high confidence.,11,1
"TABLE 43 
NORTH AMERICA: ANIMAL ECTOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
90","표 43
북미: 2018년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)
90",0.95,Direct translation with high confidence.,11,1
"TABLE 44 
NORTH AMERICA: ANIMAL ENDOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
91","표 44
북미: 2018년-2025년 유형별 동물용 내부 기생충 구충제 시장(백만 달러)
91",0.95,Direct translation with high confidence.,11,1
"TABLE 45 
NORTH AMERICA: ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE,  
2018–2025 (USD MILLION) 
91","표 45
북미: 2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)
91",0.95,Direct translation with high confidence.,11,1
"TABLE 46 
NORTH AMERICA: COMPANION ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
91","표 46
북미: 2018년-2025년 유형별 반려동물용 기생충 구충제 시장(백만 달러)
91",0.95,Direct translation with high confidence.,11,1
"TABLE 47 
NORTH AMERICA: FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY TYPE, 
2018–2025 (USD MILLION) 
92","표 47
북미: 2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)
92",0.95,Direct translation with high confidence.,11,1
"TABLE 48 
NORTH AMERICA: ANIMAL PARASITICIDES MARKET, BY END USER,  
2018–2025 (USD MILLION) 
92","표 48
북미: 2018년-2025년 최종사용자별 동물용 기생충 구충제 시장(백만 달러)
92",0.95,Direct translation with high confidence.,11,1
"TABLE 49 
US: PRIVATE CLINICAL PRACTICES, BY ANIMAL TYPE, 2016 VS. 2018 
94","표 49
미국: 동물 유형별 개인병원 수의사의 진료 횟수(2016년 VS. 2018년)
94",0.95,Direct translation with high confidence.,11,1
"TABLE 50 
US: ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
94","표 50
미국: 2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)
94",0.95,Direct translation with high confidence.,11,1
"TABLE 51 
US: ANIMAL ECTOPARASITICIDES MARKET, BY TYPE, 2020–2025 (USD MILLION) 
94","표 51
미국: 2020년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)
94",0.95,Direct translation with high confidence.,11,1
"TABLE 52 
US: ANIMAL ENDOPARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
95","표 52
미국: 2018년-2025년 유형별 동물용 내부 기생충 구충제 시장(백만 달러)
95",0.95,Direct translation with high confidence.,11,1
"TABLE 53 
US: ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE,  
2018–2025 (USD MILLION) 
95","표 53
미국: 2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)
95",0.95,Direct translation with high confidence.,11,1
"TABLE 54 
US: COMPANION ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
95","표 54
미국: 2018년-2025년 유형별 반려동물용 기생충 구충제 시장(백만 달러)
95",0.95,Direct translation with high confidence.,11,1
"
표 55
미국: 2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)
96","TABLE 55 
US: FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
96",0.95,Direct translation with currency and market scope accurately reflected.,11,2
"
표 56
미국: 2018년-2025년 최종사용자별 동물용 기생충 구충제 시장(백만 달러)
96","TABLE 56 
US: ANIMAL PARASITICIDES MARKET, BY END USER, 2018–2025 (USD MILLION) 
96",0.95,Direct translation with end-user and market value accurately translated.,11,2
"
표 57
캐나다: 2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)
97","TABLE 57 
CANADA: ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
97",0.95,Direct translation with the market type and value accurately reflected.,11,2
"
표 58
캐나다: 2018년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)
98","TABLE 58 
CANADA: ANIMAL ECTOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
98",0.95,Direct translation with the specific focus on ectoparasiticides accurately translated.,11,2
2020년 5월 © MarketsandMarkets™,MAY 2020 © MarketsandMarkets™,0.95,Direct translation with accurate date and copyright notation.,11,2
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,0.95,"Direct translation with high confidence, minor formatting differences.",12,1
"표 59
캐나다: 2018년-2025년 유형별 동물용 내부 기생충 구충제 시장(백만 달러)
98","TABLE 59 
CANADA: ANIMAL ENDOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
98",0.95,"Direct translation with high confidence, minor differences in currency notation.",12,1
"표 60
캐나다: 2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)
98","TABLE 60 
CANADA: ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE,  
2018–2025 (USD MILLION) 
98",0.95,Direct translation with high confidence.,12,1
"표 61
캐나다: 2018년-2025년 유형별 반려동물용 기생충 구충제 시장(백만 달러)
99","TABLE 61 
CANADA: COMPANION ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
99",0.95,Direct translation with high confidence.,12,1
"표 62
캐나다: 2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)
99","TABLE 62 
CANADA: FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
99",0.95,Direct translation with high confidence.,12,1
"표 63
캐나다: 2018년-2025년 최종사용자별 동물용 기생충 구충 시장(백만 달러)
99","TABLE 63 
CANADA: ANIMAL PARASITICIDES MARKET, BY END USER,  
2018–2025 (USD MILLION) 
99",0.95,"Direct translation with high confidence, minor differences in wording.",12,1
"표 64
유럽: 2010년-2018년 동물별 가축 개체수(백만 마리)
100","TABLE 64 
EUROPE: LIVESTOCK POPULATION, BY ANIMAL, 2010–2018 (MILLION HEAD) 
100",0.95,"Direct translation with high confidence, minor differences in terminology.",12,1
"표 65
유럽: 2018년-2025년 국가별 동물용 기생충 구충제 시장(백만 달러)
102","TABLE 65 
EUROPE: ANIMAL PARASITICIDES MARKET, BY COUNTRY,  
018–2025 (USD MILLION) 
102",0.95,"Direct translation with high confidence, minor typographical error in the target year.",12,1
"표 66
유럽: 2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)
102","TABLE 66 
EUROPE: ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
102",0.95,Direct translation with high confidence.,12,1
"표 67
유럽: 2018년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)
102","TABLE 67 
EUROPE: ANIMAL ECTOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
102",0.95,Direct translation with high confidence.,12,1
"표 68
유럽: 2018년-2025년 유형별 동물용 내부 기생충 구충제 시장(백만 달러)
103","TABLE 68 
EUROPE: ANIMAL ENDOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
103",0.95,Direct translation with high confidence.,12,1
"표 69
유럽: 2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)
103","TABLE 69 
EUROPE: ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE,  
2018–2025 (USD MILLION) 
103",0.95,Direct translation with high confidence.,12,1
"표 70
유럽: 2018년-2025년 유형별 반려동물용 기생충 구충제 시장(백만 달러)
103","TABLE 70 
EUROPE: COMPANION ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
103",0.95,Direct translation with high confidence.,12,1
"표 71
유럽: 2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)
104","TABLE 71 
EUROPE: FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
104",0.95,Direct translation with high confidence.,12,1
"표 72
유럽: 2018년-2025년 최종사용자별 동물용 기생충 구충제 시장(백만 달러)
104","TABLE 72 
EUROPE: ANIMAL PARASITICIDES MARKET, BY END USER,  
2018–2025 (USD MILLION) 
104",0.95,Direct translation with high confidence.,12,1
"표 73
독일: 2012년-2018년 반려동물 개체수(백만 마리)
105","TABLE 73 
GERMANY: COMPANION ANIMAL POPULATION, 2012–2018 (MILLION) 
105",0.95,Direct translation with high confidence.,12,1
"표 74
독일: 2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)
105","TABLE 74 
GERMANY: ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
105",0.95,Direct translation with high confidence.,12,1
"표 75
독일: 2018년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)
106","TABLE 75 
GERMANY: ANIMAL ECTOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
106",0.95,Direct translation with high confidence.,12,1
"표 76
독일: 2018년-2025년 유형별 동물용 내부 기생충 구충제 시장(백만 달러)
106","TABLE 76 
GERMANY: ANIMAL ENDOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
106",0.95,Direct translation with high confidence.,12,1
"표 77
독일: 2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)
106","TABLE 77 
GERMANY: ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE,  
2018–2025 (USD MILLION) 
106",0.95,Direct translation with high confidence.,12,1
"표 78
독일: 2018년-2025년 유형별 반려동물용 기생충 구충제 시장(백만 달러)
107","TABLE 78 
GERMANY: COMPANION ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
107",0.95,Direct translation with high confidence.,12,1
"표 79
독일: 2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)
107","TABLE 79 
GERMANY: FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
107",0.95,Direct translation with high confidence.,12,1
"표 80
독일: 2018년-2025년 최종사용자별 동물용 기생충 구충제 시장(백만 달러)
107","TABLE 80 
GERMANY: ANIMAL PARASITICIDES MARKET, BY END USER,  
2018–2025 (USD MILLION) 
107",0.95,Direct translation with high confidence.,12,1
"표 81
영국: 2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)
108","TABLE 81 
UK: ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
108",0.95,Direct translation with high confidence.,12,1
"표 82
영국: 2018년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)
109","TABLE 82 
UK: ANIMAL ECTOPARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
109",0.95,Direct translation with high confidence.,12,1
"표 83
영국: 2018년-2025년 유형별 동물용 내부 기생충 구충제 시장(백만 달러)
109","TABLE 83 
UK: ANIMAL ENDOPARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
109",0.95,Direct translation with high confidence.,12,1
"표 84
영국: 2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)
109","TABLE 84 
UK: ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE,  
2018–2025 (USD MILLION) 
109",0.95,Direct translation with high confidence.,12,1
"
표 85
영국: 2018년-2025년 유형별 반려동물용 기생충 구충제 시장(백만 달러)
110","TABLE 85 
UK: COMPANION ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
110",0.95,"Direct translation with equivalent meaning, currency, and numbers.",12,2
"
표 86
영국: 2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)
110","TABLE 86 
UK: FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
110",0.95,"Direct translation with equivalent meaning, currency, and numbers.",12,2
2020년 5월 © MarketsandMarkets™,MAY 2020 © MarketsandMarkets™,0.95,Exact translation of the date and copyright information.,12,2
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,0.95,"Direct translation of the market forecast title, minor formatting differences.",13,1
"표 87
영국: 2018년-2025년 최종사용자별 동물용 기생충 구충제 시장(백만 달러)
110","TABLE 87 
UK: ANIMAL PARASITICIDES MARKET, BY END USER, 2018–2025 (USD MILLION) 
110",0.95,Exact match with currency and year range translation.,13,1
"표 88
프랑스: 2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)
111","TABLE 88 
FRANCE: ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
111",0.95,Direct translation with consistent year range and market segmentation.,13,1
"표 89
프랑스: 2018년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)
112","TABLE 89 
FRANCE: ANIMAL ECTOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
112",0.95,Accurate translation focusing on external parasites.,13,1
"표 90
프랑스: 2018년-2025년 유형별 동물용 내부 기생충 구충제 시장(백만 달러)
112","TABLE 90 
FRANCE: ANIMAL ENDOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
112",0.95,"Matches with focus on internal parasites, accurate year and market type translation.",13,1
"표 91
프랑스: 2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)
112","TABLE 91 
FRANCE: ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE,  
2018–2025 (USD MILLION) 
112",0.95,Direct match with segmentation by animal type.,13,1
"표 92
프랑스: 2018년-2025년 유형별 반려동물용 기생충 구충제 시장(백만 달러)
113","TABLE 92 
FRANCE: COMPANION ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
113",0.95,Accurate translation focusing on companion animals.,13,1
"표 93
프랑스: 2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)
113","TABLE 93 
FRANCE: FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
113",0.95,"Matches with focus on food-producing animals, accurate translation.",13,1
"표 94
프랑스: 2018년-2025년 최종사용자별 동물용 기생충 구충제 시장(백만 달러)
113","TABLE 94 
FRANCE: ANIMAL PARASITICIDES MARKET, BY END USER,  
2018–2025 (USD MILLION) 
113",0.95,Direct match with end-user segmentation.,13,1
"표 95
스페인: 2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)
114","TABLE 95 
SPAIN: ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
114",0.95,Direct translation with accurate market segmentation by type.,13,1
"표 96
스페인: 2018년-2025년 유형별 동물용 외부 기생충 구충제 시장(백만 달러)
115","TABLE 96 
SPAIN: ANIMAL ECTOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
115",0.95,Matches with focus on external parasites in Spain.,13,1
"표 97
스페인: 2018년-2025년 유형별 동물용 내부 기생충 구충제 시장(백만 달러)
115","TABLE 97 
SPAIN: ANIMAL ENDOPARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
115",0.95,Accurate translation focusing on internal parasites in Spain.,13,1
"표 98
스페인: 2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)
115","TABLE 98 
SPAIN: ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE,  
2018–2025 (USD MILLION) 
115",0.95,Direct match with segmentation by animal type in Spain.,13,1
"표 99
스페인: 2018년-2025년 유형별 반려동물용 기생충 구충제 시장(백만 달러)
116","TABLE 99 
SPAIN: COMPANION ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
116",0.95,Matches with focus on companion animals in Spain.,13,1
"표 100
스페인: 2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)
116","TABLE 100 
SPAIN: FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION) 
116",0.95,Direct translation focusing on food-producing animals in Spain.,13,1
"표 101
스페인: 2018년-2025년 최종사용자별 동물용 기생충 구충제 시장(백만 달러)
116","TABLE 101 
SPAIN: ANIMAL PARASITICIDES MARKET, BY END USER,  
2018–2025 (USD MILLION) 
116",0.95,Matches with end-user segmentation in Spain.,13,1
"표 102
이탈리아: 2018년-2025년 유형별 동물용 기생충 구충제 시장(백만 달러)
117","TABLE 102 
ITALY: ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION) 
117",0.95,Direct translation with accurate market segmentation by type in Italy.,13,1
